experiment_name,feature_extraction,classifier,augmentation,metric,average,std_dev,min,max,count
sehri_et_al_papers_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,training_time,11.440063127220004,0.10008713519880352,11.246991227,11.729321912,50
sehri_et_al_papers_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,accuracy_score,0.6332402234636872,0.0210981705036667,0.5893854748603352,0.6675977653631285,50
sehri_et_al_papers_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,f1_macro,0.6311908896120936,0.021336314049513735,0.5852228759094765,0.6646888048064161,50
sehri_et_al_papers_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,load_data_time,0.0774583438,0.0006253050361317424,0.076188271,0.080400054,50
sehri_et_al_papers_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,prediction_time,0.15727748767999997,0.0022265388963870663,0.152739126,0.162789612,50
sehri_et_al_papers_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,training_time,5.064199841459999,0.03004385662552064,5.000864067,5.129259717,50
sehri_et_al_proposed_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,accuracy_score,0.32394627687888516,0.18715489745820882,0.032684980950471225,0.6434487152261626,450
sehri_et_al_proposed_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,f1_macro,0.2713671154344079,0.1735641510714658,0.03256417940265708,0.5707611579996058,450
sehri_et_al_proposed_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,load_data_time,4.354889199748891,0.382594116300122,3.660133073,5.230614546,450
sehri_et_al_proposed_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,prediction_time,1.1422019252799993,0.03161097481713601,1.074149195,1.2135161,450
sehri_et_al_proposed_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,training_time,12.422934056319985,0.8939082152290156,10.915155017,14.517106543,450
sehri_et_al_proposed_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,accuracy_score,0.32567601251876005,0.1852122874928043,0.01925005013033888,0.6566149925674241,450
sehri_et_al_proposed_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,f1_macro,0.26841500471122837,0.17115385301336972,0.019467505786254797,0.5954234139950231,450
sehri_et_al_proposed_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,load_data_time,0.054892718393333324,0.002719751628288639,0.048629742,0.059474529,450
sehri_et_al_proposed_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,prediction_time,1.1443022513222225,0.03338539192778574,1.072371003,1.230704519,450
sehri_et_al_proposed_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,training_time,4.985915719057781,0.18587048781576437,4.666948964,5.343556849,450
sehri_khalilian_et_al_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,accuracy_score,0.5575025916224033,0.09447991428123896,0.4333859926276988,0.8207547169811321,600
sehri_khalilian_et_al_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,f1_macro,0.4864483029748658,0.12352897335449753,0.3309458066491229,0.8118076234558227,600
sehri_khalilian_et_al_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,load_data_time,4.317903369913338,0.21056335505084106,3.964491561,4.64488702,600
sehri_khalilian_et_al_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,prediction_time,0.316953751615,0.10268426985635233,0.16420815,0.422526792,600
sehri_khalilian_et_al_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,training_time,13.589447387493319,0.7937143446538276,12.063108928,14.427974652,600
sehri_khalilian_et_al_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,accuracy_score,0.546777754731512,0.08222321502820872,0.45483193277310924,0.7557651991614256,600
sehri_khalilian_et_al_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,f1_macro,0.4703555769937603,0.11058728276773178,0.36461785100638194,0.7538946415088725,600
sehri_khalilian_et_al_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,load_data_time,0.060209531783333256,0.0011660793349941585,0.057734075,0.064532583,600
sehri_khalilian_et_al_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,prediction_time,0.31679209198000036,0.10280977174073563,0.163566281,0.426034095,600
sehri_khalilian_et_al_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,training_time,5.686480594126668,0.26890969093328704,5.327864709,6.194577973,600
