metric,mean,std,experiment
scores.fold_0_0.load_data_time,0.06642529452173913,0.0008919022428349344,No augmentation
scores.fold_0_0.training_time,2.752617859,0.022549095711748696,No augmentation
scores.fold_0_0.prediction_time,0.46834278069565227,0.007116393708985103,No augmentation
scores.fold_0_0.accuracy_score,0.5910566656625498,0.01799073310957575,No augmentation
scores.fold_0_0.f1_macro,0.6017130928948327,0.012818023512648706,No augmentation
scores.fold_0_1.load_data_time,0.059390145043478275,0.0005677924876505569,No augmentation
scores.fold_0_1.training_time,2.448038320173913,0.02120445939918701,No augmentation
scores.fold_0_1.prediction_time,0.5640680643478261,0.008514216318514718,No augmentation
scores.fold_0_1.accuracy_score,0.6137424354078738,0.008501033690099073,No augmentation
scores.fold_0_1.f1_macro,0.5465273842168652,0.007422820651238064,No augmentation
scores.fold_0_2.load_data_time,0.08190622243478261,0.0011747985911445267,No augmentation
scores.fold_0_2.training_time,3.2013932826956526,0.02611764831988726,No augmentation
scores.fold_0_2.prediction_time,0.22220704060869562,0.0032787063074562676,No augmentation
scores.fold_0_2.accuracy_score,0.6510851110947073,0.010514669897967545,No augmentation
scores.fold_0_2.f1_macro,0.6224524932092549,0.004354972632230242,No augmentation
scores.fold_0_3.load_data_time,0.05608896608695652,0.0007642567596868168,No augmentation
scores.fold_0_3.training_time,2.2305695346956522,0.014729749701984972,No augmentation
scores.fold_0_3.prediction_time,0.676278929826087,0.009483385312268878,No augmentation
scores.fold_0_3.accuracy_score,0.5342207074428887,0.02000111290651815,No augmentation
scores.fold_0_3.f1_macro,0.30506082935266493,0.030224371437233187,No augmentation
scores.fold_1_0.load_data_time,0.07054841491304346,0.0008027575124615444,No augmentation
scores.fold_1_0.training_time,2.7621857249565216,0.020406049947663405,No augmentation
scores.fold_1_0.prediction_time,0.40600668621739133,0.005916895762298465,No augmentation
scores.fold_1_0.accuracy_score,0.6282409254088551,0.01429830772536351,No augmentation
scores.fold_1_0.f1_macro,0.6060462683940829,0.010061386545930442,No augmentation
scores.fold_1_1.load_data_time,0.06280987221739132,0.0007622826201557666,No augmentation
scores.fold_1_1.training_time,2.449614823739131,0.021420899036105286,No augmentation
scores.fold_1_1.prediction_time,0.5580196579565218,0.007988127680756884,No augmentation
scores.fold_1_1.accuracy_score,0.5564862052336353,0.006936851808484316,No augmentation
scores.fold_1_1.f1_macro,0.5431382372516118,0.005297700786753314,No augmentation
scores.fold_1_2.load_data_time,0.07955149408695653,0.0008000568669677017,No augmentation
scores.fold_1_2.training_time,3.192537581217391,0.02511851972444463,No augmentation
scores.fold_1_2.prediction_time,0.22156784921739134,0.003269937550360957,No augmentation
scores.fold_1_2.accuracy_score,0.6507713884992988,0.01580643240358371,No augmentation
scores.fold_1_2.f1_macro,0.6235002437287362,0.007191276535464805,No augmentation
scores.fold_1_3.load_data_time,0.05527227086956522,0.0007058084859565014,No augmentation
scores.fold_1_3.training_time,2.2357386156956527,0.022733560390866665,No augmentation
scores.fold_1_3.prediction_time,0.6699003070869566,0.00961547092524829,No augmentation
scores.fold_1_3.accuracy_score,0.5332779470137542,0.02419825220203494,No augmentation
scores.fold_1_3.f1_macro,0.30421339953424803,0.03629746923534329,No augmentation
scores.fold_2_0.load_data_time,0.06809113382608696,0.0008540448075737045,No augmentation
scores.fold_2_0.training_time,2.6911577680869567,0.021880936778208744,No augmentation
scores.fold_2_0.prediction_time,0.4575710653913043,0.00660752586019119,No augmentation
scores.fold_2_0.accuracy_score,0.6269651191353476,0.01653988536639003,No augmentation
scores.fold_2_0.f1_macro,0.6011589659372357,0.012305679776754157,No augmentation
scores.fold_2_1.load_data_time,0.06558612713043478,0.0006278250842783514,No augmentation
scores.fold_2_1.training_time,2.5036049020869564,0.022162112382239328,No augmentation
scores.fold_2_1.prediction_time,0.4979052374782609,0.006934666555636602,No augmentation
scores.fold_2_1.accuracy_score,0.6114618421933209,0.007615317362282309,No augmentation
scores.fold_2_1.f1_macro,0.5443135236897291,0.0061528740679993215,No augmentation
scores.fold_2_2.load_data_time,0.08169432873913043,0.0005976279136290121,No augmentation
scores.fold_2_2.training_time,3.191592302521739,0.0244070213260805,No augmentation
scores.fold_2_2.prediction_time,0.2215010215652174,0.0032974532980286565,No augmentation
scores.fold_2_2.accuracy_score,0.6056427488423556,0.012746556537511736,No augmentation
scores.fold_2_2.f1_macro,0.6209516462226841,0.004459356312928274,No augmentation
scores.fold_2_3.load_data_time,0.057828930869565226,0.0006327788307419253,No augmentation
scores.fold_2_3.training_time,2.2241265725652175,0.021078989804465802,No augmentation
scores.fold_2_3.prediction_time,0.665679906347826,0.009876851301193458,No augmentation
scores.fold_2_3.accuracy_score,0.5420012923474569,0.018060402422616036,No augmentation
scores.fold_2_3.f1_macro,0.3188912599056621,0.026883302523893766,No augmentation
scores.fold_3_0.load_data_time,0.06630445852173913,0.000638625874299433,No augmentation
scores.fold_3_0.training_time,2.7046947893478266,0.020099401843324906,No augmentation
scores.fold_3_0.prediction_time,0.4572474877826088,0.006711425991388562,No augmentation
scores.fold_3_0.accuracy_score,0.6214075165806926,0.017364270819299484,No augmentation
scores.fold_3_0.f1_macro,0.5975904966193533,0.014627168686885876,No augmentation
scores.fold_3_1.load_data_time,0.06324400139130434,0.0006818653785267523,No augmentation
scores.fold_3_1.training_time,2.440176515826087,0.019273405523076808,No augmentation
scores.fold_3_1.prediction_time,0.5524146377391304,0.00804759986050836,No augmentation
scores.fold_3_1.accuracy_score,0.6105714477121993,0.007929584816751222,No augmentation
scores.fold_3_1.f1_macro,0.5439609779217154,0.0067460471637493325,No augmentation
scores.fold_3_2.load_data_time,0.08431708434782609,0.0004979966243632957,No augmentation
scores.fold_3_2.training_time,3.2482291721739136,0.03219188812226055,No augmentation
scores.fold_3_2.prediction_time,0.16700828243478263,0.002458900740819819,No augmentation
scores.fold_3_2.accuracy_score,0.6478408378507947,0.01762147364820789,No augmentation
scores.fold_3_2.f1_macro,0.6211193211505358,0.008339604271434056,No augmentation
scores.fold_3_3.load_data_time,0.07060010252173912,0.0006290645008731674,No augmentation
scores.fold_3_3.training_time,2.762337462956522,0.02306069207802663,No augmentation
scores.fold_3_3.prediction_time,0.40259716769565224,0.005684557469210191,No augmentation
scores.fold_3_3.accuracy_score,0.3857774502579218,0.038091112248315157,No augmentation
scores.fold_3_3.f1_macro,0.3112207819059513,0.040286297464105406,No augmentation
scores.fold_4_0.load_data_time,0.05786409991304348,0.000475978285367755,No augmentation
scores.fold_4_0.training_time,2.220414479347826,0.015603724889501928,No augmentation
scores.fold_4_0.prediction_time,0.6625552000869565,0.009671205025567413,No augmentation
scores.fold_4_0.accuracy_score,0.5598873067844362,0.009414529558969232,No augmentation
scores.fold_4_0.f1_macro,0.5456125443543832,0.006864407113607581,No augmentation
scores.fold_4_1.load_data_time,0.061340510739130424,0.0006684901894610395,No augmentation
scores.fold_4_1.training_time,2.437396847521739,0.019940174319432843,No augmentation
scores.fold_4_1.prediction_time,0.5516324190869565,0.007886122968540805,No augmentation
scores.fold_4_1.accuracy_score,0.6196266273642839,0.015523569644559294,No augmentation
scores.fold_4_1.f1_macro,0.5981013719638666,0.011607506884508526,No augmentation
scores.fold_4_2.load_data_time,0.08191153747826087,0.0009262859830194746,No augmentation
scores.fold_4_2.training_time,3.1874994174782607,0.02164782888673161,No augmentation
scores.fold_4_2.prediction_time,0.22215883121739133,0.003375493514867472,No augmentation
